# Paper 0 light-yield survey -- one row per reported measurement.
#
# WHAT THIS FILE IS FOR.  A reported scintillator light yield is not a property
# of the material alone: it is the joint output of material, geometry, surface,
# wrapping, coupling, photodetector and shaping. This file records, for each
# published measurement, WHICH of those the paper actually states. The headline
# result of the survey is the completeness statistic that falls out of it --
# how large a fraction of the literature reports enough to reproduce, or even to
# correct, the number it publishes.
#
# HOW IT IS FILLED.  By reading. Every row is extracted from the full text by
# hand (see scripts/collect_literature.py for why this is not automated). The
# corpus and screening decisions are in candidates.json and screening.csv, so
# the sample is reproducible even though the extraction is a judgement.
#
# THE ONE RULE.  `not_stated` means the paper does not say. It never means "the
# usual value" or "probably polished". Guessing here would destroy the only
# thing this file measures. Where a paper states something ambiguously, record
# what it literally says in `notes` and use `unclear` rather than inventing a
# category.
#
# COLUMNS
#   arxiv_id, doi, journal_ref, year   provenance of the paper
#   material                           as named by the paper
#   dopant                             activator and concentration, or not_stated
#   ly_value, ly_unit, ly_uncertainty  the reported number; unit matters --
#                                      photons/MeV and photoelectrons/MeV are
#                                      different quantities and are often mixed
#   sample_form                        single_crystal | ceramic | powder |
#                                      thin_film | composite | not_stated
#   dimensions_mm                      as stated, e.g. "25.4x25.4x25.4" or
#                                      "d10x10"; not_stated if absent
#   surface_treatment                  polished | ground | saw_cut | etched |
#                                      as_grown | unclear | not_stated
#   wrapping                           teflon | esr | tyvek | painted | none |
#                                      unclear | not_stated
#   coupling                           grease | air | glue | unclear | not_stated
#   coupling_index                     refractive index if given
#   photodetector                      model as stated, or type, or not_stated
#   pde_stated                         yes | no  -- whether the quantum
#                                      efficiency or PDE used is given
#   reference_standard                 what the yield was normalised against
#                                      (material and assumed value), or absolute,
#                                      or not_stated
#   source_isotope, source_energy_keV  the excitation
#   shaping_time_us                    critical for slow components; not_stated
#                                      is common and consequential
#   temperature_K                      not_stated usually means room temperature
#                                      but the paper does not say so
#   notes                              anything ambiguous, quoted
#   extracted_on                       date of extraction
#
arxiv_id,doi,journal_ref,year,material,dopant,ly_value,ly_unit,ly_uncertainty,sample_form,dimensions_mm,surface_treatment,wrapping,coupling,coupling_index,photodetector,pde_stated,reference_standard,reference_material,reference_value_ph_per_MeV,source_isotope,source_energy_keV,shaping_time_us,temperature_K,notes,extracted_on
1703.01262v1,10.1016/j.astropartphys.2017.06.005,"Astropart. Phys. 93, 86-95 (2017)",2017,NaI,Tl,40,photons_per_keV,lower bound ('above 40'),single_crystal,d120.65x298.45 (4.75 in x 11.75 in),not_stated,not_stated,not_stated,not_stated,"Hamamatsu low-background PMTs, two per crystal",yes,absolute: detected photoelectron yield divided by manufacturer QE,absolute,not_applicable,internal and external lines,3 to 25,not_stated,not_stated,"Derived by the authors from the detected photoelectron yield and the manufacturer's PMT quantum efficiency. The abstract calls the QE-corrected quantity 'above 40 photoelectrons/keV'; dividing photoelectrons by a quantum efficiency gives photons, so this appears to be a unit error in the abstract of a peer-reviewed paper -- and it is exactly the photons/photoelectrons conflation this survey is built to count. Recorded here as photons/keV, which is what the quantity is. The same paper's introduction cites 40,000 photons/MeV for NaI(Tl), against 38,000 in Bonesini and 41,000 in Roberts et al.",2026-09-12
2609.10116v1,not_stated,arXiv preprint (2026),2026,Gd3Al2Ga3O12 (GAGG),"Ce, Mg (concentration not stated)",3207,photons_per_MeV,not_stated,single_crystal,"several: 2x2x3, 2x2x10, 10x10x10 pixels/plates, 1x1x50 and 1x1x100 fibres",polished,teflon,grease,1.41,Hamamatsu R2059 PMT,yes,"absolute: single-photoelectron peak, corrected for QE weighted by the emission spectrum",absolute,not_applicable,Cs-137,661.7,1,not_stated,"Ingot B, lowest of the tested ingots. Exceptionally well reported, and useful to the survey as a counter-example: it states everything the schema asks for, including the coupling refractive index, which almost nothing else does. Two of its own observations support the premise of this study directly. First, the authors report a 'geometry effect': for most ingots the plate-shaped samples give the highest light collection, so the same material yields different numbers depending on the shape cut from it. Second, light yield varies along a single crystal fibre (9,978 to 9,191 ph/MeV, and elsewhere a 4.3 %/cm gradient), so the number depends on where in the crystal the interaction happened. Dopant concentrations per ingot are not given (no at.%, mol%, wt% or ppm appears in the text). The authors note the absolute yield here (a few thousand to ~13,000 ph/MeV) is far below the ~50,000 ph/MeV of non-ultrafast GAGG:Ce, which is the deliberate trade-off of heavy Ce-Mg codoping for speed.",2026-09-12
2609.10116v1,not_stated,arXiv preprint (2026),2026,Gd3Al2Ga3O12 (GAGG),"Ce, Mg (concentration not stated)",13273,photons_per_MeV,not_stated,single_crystal,"several: 2x2x3, 2x2x10, 10x10x10 pixels/plates, 1x1x50 and 1x1x100 fibres",polished,teflon,grease,1.41,Hamamatsu R2059 PMT,yes,"absolute: single-photoelectron peak, corrected for QE weighted by the emission spectrum",absolute,not_applicable,Cs-137,661.7,1,not_stated,"Ingot D, highest of the tested ingots. Exceptionally well reported, and useful to the survey as a counter-example: it states everything the schema asks for, including the coupling refractive index, which almost nothing else does. Two of its own observations support the premise of this study directly. First, the authors report a 'geometry effect': for most ingots the plate-shaped samples give the highest light collection, so the same material yields different numbers depending on the shape cut from it. Second, light yield varies along a single crystal fibre (9,978 to 9,191 ph/MeV, and elsewhere a 4.3 %/cm gradient), so the number depends on where in the crystal the interaction happened. Dopant concentrations per ingot are not given (no at.%, mol%, wt% or ppm appears in the text). The authors note the absolute yield here (a few thousand to ~13,000 ph/MeV) is far below the ~50,000 ph/MeV of non-ultrafast GAGG:Ce, which is the deliberate trade-off of heavy Ce-Mg codoping for speed.",2026-09-12
1210.3755v1,10.1016/j.radmeas.2013.01.054,arXiv:1210.3755,2012,SrF2,none (intrinsic),20640,photons_per_MeV,not_stated,single_crystal,10x10,polished,teflon,not_stated,not_stated,FEU-39A PMT; vacuum grating monochromator VM-4,yes,NaI-Tl assumed 43000 ph/MeV,NaI:Tl,43000,"X-ray tube, Pd anode 35 kV 0.8 mA",35 kVp continuum,10,not_stated,"As reported BEFORE correction for the spectral response of the detection chain. Light output here is NOT from the pulse-height spectra but from X-ray excited luminescence integrated and compared against a NaI-Tl crystal ASSUMED to be 43,000 photons/MeV -- a fourth value for NaI(Tl), against 38,000 (Bonesini), 40,000 (ANAIS) and 41,000 (Roberts et al.). X-ray excitation was a Pd-anode tube at 35 kV, 0.8 mA; the 137Cs 662 keV source was used for the pulse-height and decay measurements.",2026-09-12
1210.3755v1,10.1016/j.radmeas.2013.01.054,arXiv:1210.3755,2012,SrF2,none (intrinsic),40000,photons_per_MeV,not_stated,single_crystal,10x10,polished,teflon,not_stated,not_stated,FEU-39A PMT; vacuum grating monochromator VM-4,yes,NaI-Tl assumed 43000 ph/MeV,NaI:Tl,43000,"X-ray tube, Pd anode 35 kV 0.8 mA",35 kVp continuum,10,not_stated,"The SAME crystal in the SAME paper, AFTER correcting for the spectral response of the PMT and monochromator: 40,000 against 20,640 ph/MeV, a factor of 1.94. Both numbers are published side by side, and a reader quoting one of them has no way to know from a citation which was meant. The same group's later paper (arXiv:1308.3908) gives 29,200 ph/MeV for pure SrF2 by an independent absolute method, so three values exist for this material from one group. Light output here is NOT from the pulse-height spectra but from X-ray excited luminescence integrated and compared against a NaI-Tl crystal ASSUMED to be 43,000 photons/MeV -- a fourth value for NaI(Tl), against 38,000 (Bonesini), 40,000 (ANAIS) and 41,000 (Roberts et al.). X-ray excitation was a Pd-anode tube at 35 kV, 0.8 mA; the 137Cs 662 keV source was used for the pulse-height and decay measurements.",2026-09-12
1210.3755v1,10.1016/j.radmeas.2013.01.054,arXiv:1210.3755,2012,SrF2,Ce 0.3 mol%,34000,photons_per_MeV,not_stated,single_crystal,10x10,polished,teflon,not_stated,not_stated,FEU-39A PMT; vacuum grating monochromator VM-4,yes,NaI-Tl assumed 43000 ph/MeV,NaI:Tl,43000,"X-ray tube, Pd anode 35 kV 0.8 mA",35 kVp continuum,10,not_stated,"Uncorrected for spectral response, like the 20,640 value for the pure crystal. Light output here is NOT from the pulse-height spectra but from X-ray excited luminescence integrated and compared against a NaI-Tl crystal ASSUMED to be 43,000 photons/MeV -- a fourth value for NaI(Tl), against 38,000 (Bonesini), 40,000 (ANAIS) and 41,000 (Roberts et al.). X-ray excitation was a Pd-anode tube at 35 kV, 0.8 mA; the 137Cs 662 keV source was used for the pulse-height and decay measurements.",2026-09-12
1210.3755v1,10.1016/j.radmeas.2013.01.054,arXiv:1210.3755,2012,CaF2,Eu 0.1 mol%,21500,photons_per_MeV,not_stated,single_crystal,10x10,polished,teflon,not_stated,not_stated,FEU-39A PMT; vacuum grating monochromator VM-4,yes,NaI-Tl assumed 43000 ph/MeV,NaI:Tl,43000,"X-ray tube, Pd anode 35 kV 0.8 mA",35 kVp continuum,10,not_stated,"Uncorrected for spectral response. Light output here is NOT from the pulse-height spectra but from X-ray excited luminescence integrated and compared against a NaI-Tl crystal ASSUMED to be 43,000 photons/MeV -- a fourth value for NaI(Tl), against 38,000 (Bonesini), 40,000 (ANAIS) and 41,000 (Roberts et al.). X-ray excitation was a Pd-anode tube at 35 kV, 0.8 mA; the 137Cs 662 keV source was used for the pulse-height and decay measurements.",2026-09-12
1607.08783v1,10.1016/j.jcrysgro.2016.11.085,J. Cryst. Growth (2017),2016,Tl2LiLuCl6,Ce 1 mol%,27000,photons_per_MeV,2700,single_crystal,d8x1,polished,teflon,grease,not_stated,Hamamatsu R6233 PMT,no,LYSO:Ce assumed 33000 ph/MeV,LYSO:Ce,33000,Cs-137,662,not_stated,room temperature (value not given),"Same group and same method as arXiv:1607.05486, arXiv:1612.02918 and arXiv:1709.04975: pulse-height comparison against a LYSO:Ce crystal ASSUMED to be 33,000 ph/MeV. Every yield from this group therefore inherits that one assumption, and arXiv:1607.05486's own Table I lists LYSO at 32,000, so the group is not internally consistent about its own ruler. Shaping time is described only as 'similar conditions of shaping time' or 'different shaping time' -- no value is given in any of them.",2026-09-12
1612.02918v1,10.1016/j.nima.2016.12.010,Nucl. Instrum. Meth. A (2017),2016,Tl2LaBr5,Ce 5 mol%,43000,photons_per_MeV,4300,single_crystal,d8x2,polished,teflon,grease,not_stated,Hamamatsu R6233 PMT,no,LYSO:Ce assumed 33000 ph/MeV,LYSO:Ce,33000,Cs-137,662,not_stated,room temperature (value not given),"Same group and same method as arXiv:1607.05486, arXiv:1612.02918 and arXiv:1709.04975: pulse-height comparison against a LYSO:Ce crystal ASSUMED to be 33,000 ph/MeV. Every yield from this group therefore inherits that one assumption, and arXiv:1607.05486's own Table I lists LYSO at 32,000, so the group is not internally consistent about its own ruler. Shaping time is described only as 'similar conditions of shaping time' or 'different shaping time' -- no value is given in any of them.",2026-09-12
1612.02918v1,10.1016/j.nima.2016.12.010,Nucl. Instrum. Meth. A (2017),2016,Tl2LaBr5,none (pure),16000,photons_per_MeV,1600,single_crystal,d8x2,polished,teflon,grease,not_stated,Hamamatsu R6233 PMT,no,LYSO:Ce assumed 33000 ph/MeV,LYSO:Ce,33000,Cs-137,662,not_stated,room temperature (value not given),"Same group and same method as arXiv:1607.05486, arXiv:1612.02918 and arXiv:1709.04975: pulse-height comparison against a LYSO:Ce crystal ASSUMED to be 33,000 ph/MeV. Every yield from this group therefore inherits that one assumption, and arXiv:1607.05486's own Table I lists LYSO at 32,000, so the group is not internally consistent about its own ruler. Shaping time is described only as 'similar conditions of shaping time' or 'different shaping time' -- no value is given in any of them.",2026-09-12
1709.04975v1,10.1016/j.jcrysgro.2017.09.025,J. Cryst. Growth (2017),2017,TlSr2I5,Eu 2+,70000,photons_per_MeV,not_stated,single_crystal,8x5x2,polished,teflon,grease,not_stated,Hamamatsu R6233-100 PMT,no,LYSO:Ce assumed 33000 ph/MeV,LYSO:Ce,33000,Cs-137,662,not_stated,room temperature (value not given),"Same group and same method as arXiv:1607.05486, arXiv:1612.02918 and arXiv:1709.04975: pulse-height comparison against a LYSO:Ce crystal ASSUMED to be 33,000 ph/MeV. Every yield from this group therefore inherits that one assumption, and arXiv:1607.05486's own Table I lists LYSO at 32,000, so the group is not internally consistent about its own ruler. Shaping time is described only as 'similar conditions of shaping time' or 'different shaping time' -- no value is given in any of them. Cutting, polishing and characterisation were done in an ultra-dry environment because the crystal is hygroscopic -- one of the few papers to say so, and it matters for surface quality.",2026-09-12
1911.02076v1,not_stated,arXiv:1911.02076,2019,Cs2HfCl6,none (intrinsic),23000,photons_per_MeV,not_stated,single_crystal,d23x30,polished,teflon,oil,not_stated,Hamamatsu R6231-100 super-bialkali PMT; Saint-Gobain BC630 grease,yes,"1 inch x 1 inch NaI:Tl, assumed value NOT stated",NaI:Tl,not_stated,Cs-137,662,12,room temperature (value not given),"Measured by comparing the 662 keV peak channel against a 1-inch x 1-inch NaI:Tl crystal and correcting for the PMT quantum efficiency at each emission wavelength. The paper never states what light yield it assumes for that NaI:Tl -- the reference value on which the whole number rests is absent, even though the comparison is described in detail. The crystal sits in mineral oil inside a quartz cup lined with Teflon tape as a diffuse reflector, and the cup is coupled to the PMT with optical grease, so 'wrapping' and 'coupling' here describe the cup, not the crystal face. The authors attribute this value being lower than earlier reports on 'smaller and thinner CHC crystals' partly to 'less than optimal light collection' -- their own words, and a direct statement that the number depends on sample size and geometry rather than on the material.",2026-09-12
1911.02076v1,not_stated,arXiv:1911.02076,2019,Cs2HfCl6,none (intrinsic),30000,photons_per_MeV,not_stated,single_crystal,not_stated,polished,teflon,oil,not_stated,Hamamatsu R6231-100 super-bialkali PMT; Saint-Gobain BC630 grease,yes,"1 inch x 1 inch NaI:Tl, assumed value NOT stated",NaI:Tl,not_stated,Cs-137,662,12,room temperature (value not given),"Abstract value, qualified in the text as '(when compared to NaI:Tl)'. A different sample from the 23,000 ph/MeV row, and the paper does not give its dimensions. Measured by comparing the 662 keV peak channel against a 1-inch x 1-inch NaI:Tl crystal and correcting for the PMT quantum efficiency at each emission wavelength. The paper never states what light yield it assumes for that NaI:Tl -- the reference value on which the whole number rests is absent, even though the comparison is described in detail. The crystal sits in mineral oil inside a quartz cup lined with Teflon tape as a diffuse reflector, and the cup is coupled to the PMT with optical grease, so 'wrapping' and 'coupling' here describe the cup, not the crystal face.",2026-09-12
1911.03611v1,not_stated,arXiv:1911.03611,2019,TlSr2I5,Eu 2+,54000,photons_per_MeV,not_stated,single_crystal,10x8.5x2 and 14x11x9,polished,teflon,oil,not_stated,Hamamatsu R6231-100 super-bialkali PMT,no,"calibrated 1 inch x 1 inch NaI:Tl, assumed value NOT stated",NaI:Tl,not_stated,Cs-137,662,8,room temperature (value not given),"Polished with sandpapers; the grit is not given, and the paper's companion (arXiv:1911.02076) specifies 'up to 4000 grit' for its own samples, so the omission here is a choice rather than a convention. Mineral oil was used as lubricant and moisture protection during polishing because the crystal is hygroscopic. Measured by comparing the 662 keV peak channel against a 1-inch x 1-inch NaI:Tl crystal and correcting for the PMT quantum efficiency at each emission wavelength. The paper never states what light yield it assumes for that NaI:Tl -- the reference value on which the whole number rests is absent, even though the comparison is described in detail. The crystal sits in mineral oil inside a quartz cup lined with Teflon tape as a diffuse reflector, and the cup is coupled to the PMT with optical grease, so 'wrapping' and 'coupling' here describe the cup, not the crystal face. A Gore flexible Teflon sheet served as the back reflector.",2026-09-12
2509.26416v3,not_stated,arXiv:2509.26416,2025,Cs2ZrCl6,none (intrinsic),53300,photons_per_MeV,4700,single_crystal,d22x60,polished,teflon,grease,not_stated,Electron Tubes 9125QSB PMT,yes,"absolute: single-photoelectron calibration, divided by QE and by a Geant4-simulated light collection efficiency",absolute,not_applicable,Cs-137,662,50 ns integration for SPE,293,"Cryostat geometry, LCE 24 percent. PRIOR ART FOR PAPER 0'S METHOD. This paper already does what we proposed: it divides the measured photoelectron count by the PMT quantum efficiency AND by a light-collection efficiency obtained from a Geant4 optical simulation (version 10.6.p01, G4OpticalPhysics, UNIFIED surface model), to recover an intrinsic photon yield. LCE was 81 percent with the crystal coupled directly to the PMT window and 24 percent inside the optical cryostat. They quote a 5 percent relative uncertainty on the simulated LCE. That figure is the point of contact with this study: our own one-at-a-time scan of the optical inputs for NaI(Tl) -- refractive index, bulk absorption, emission band shape -- moves the light-collection efficiency by 42 percent across models consistent with the available measurements and 76 percent across what the literature actually uses. A 5 percent uncertainty on a simulated LCE is therefore hard to sustain unless the optical inputs are pinned down far better than they are for NaI, which is among the best-characterised scintillators there is. The same paper reports 50,300 +- 4,800 ph/MeV for the same crystal coupled directly to the PMT window (LCE 81 percent) -- two configurations, two numbers, 6 percent apart. An earlier independent study is cited at 33,900 ph/MeV at room temperature for this material, 57 percent below this work.",2026-09-12
2509.26416v3,not_stated,arXiv:2509.26416,2025,Cs2ZrCl6,none (intrinsic),50300,photons_per_MeV,4800,single_crystal,d22x60,polished,teflon,grease,not_stated,Electron Tubes 9125QSB PMT,yes,"absolute: single-photoelectron calibration, divided by QE and by a Geant4-simulated light collection efficiency",absolute,not_applicable,Cs-137,662,50 ns integration for SPE,293,"Table-top geometry, crystal coupled directly to the PMT window, LCE 81 percent. Same crystal and same paper as the 53,300 ph/MeV row, which used the cryostat geometry. PRIOR ART FOR PAPER 0'S METHOD. This paper already does what we proposed: it divides the measured photoelectron count by the PMT quantum efficiency AND by a light-collection efficiency obtained from a Geant4 optical simulation (version 10.6.p01, G4OpticalPhysics, UNIFIED surface model), to recover an intrinsic photon yield. LCE was 81 percent with the crystal coupled directly to the PMT window and 24 percent inside the optical cryostat. They quote a 5 percent relative uncertainty on the simulated LCE. That figure is the point of contact with this study: our own one-at-a-time scan of the optical inputs for NaI(Tl) -- refractive index, bulk absorption, emission band shape -- moves the light-collection efficiency by 42 percent across models consistent with the available measurements and 76 percent across what the literature actually uses. A 5 percent uncertainty on a simulated LCE is therefore hard to sustain unless the optical inputs are pinned down far better than they are for NaI, which is among the best-characterised scintillators there is.",2026-09-12
